JA32U2FU8EU012527,1989,Mazda,Familia,Humble,TX
WAUGFAFR6EA032670,1985,Mercedes-Benz,S-Class,Atlanta,GA
1G4PS5SK3C4984757,1993,Subaru,Justy,Stamford,CT
JTDBT4K36B1883355,1966,Pontiac,Bonneville,Flint,MI
JN8AF5MV9FT097037,1986,Mercedes-Benz,S-Class,El Paso,TX
3D73Y3CL0BG971842,1999,Nissan,Sentra,Rochester,MN
1GTN1TEX6CZ846353,1990,Mercedes-Benz,SL-Class,New York City,NY
WAUVT58E85A646332,1984,Mitsubishi,Mirage,Washington,DC
19VDE2E55DE537858,2012,Volvo,XC90,Anniston,AL
WBA3F9C58EF204506,2003,Mercedes-Benz,CL-Class,Minneapolis,MN
WBA3A5C56DJ496465,2008,Audi,A6,Buffalo,NY
WBA3A5C54EF482584,2002,Isuzu,Rodeo Sport,San Diego,CA
1FBAX2CM0FK208100,1996,Isuzu,Oasis,Santa Fe,NM
1FTEW1CM2DK402828,2005,Ford,E-Series,Cleveland,OH
5TFBW5F10DX877931,2003,Suzuki,Aerio,Lakeland,FL
WAURFAFR2BA661217,1995,Mercury,Villager,Charleston,SC
1J4NF1GB0AD574622,2011,Toyota,Venza,New York City,NY
1FTEW1CM9CK604693,2007,Mazda,Mazda6,Springfield,MO
WBASN4C50CC629072,2007,Chevrolet,Cobalt SS,Montgomery,AL
JTHDU1EF7C5675147,2000,Jaguar,XK Series,Birmingham,AL
1GYS4AEF5ER252744,2001,Chevrolet,Suburban 1500,Fort Worth,TX
WAUGFAFC9FN998758,1998,Chevrolet,Blazer,Los Angeles,CA
WBAKG7C52DE911859,2002,Jeep,Liberty,Memphis,TN
1D7RW3GK8AS745427,2011,Aston Martin,DBS,Athens,GA
JM3TB2MA0A0623715,2005,BMW,330,Chicago,IL
1G6AB5SA9D0853443,1990,Mitsubishi,Galant,Newark,NJ
1FTSX2A58AE364596,2011,Ford,Expedition EL,Gastonia,NC
WAUAH74F79N736113,2001,Volvo,S80,Sacramento,CA
3GYFNAE31DS514744,1989,Lexus,ES,New Orleans,LA
SCFHDDAJ1BA894823,2006,Mitsubishi,Eclipse,Anchorage,AK
JTDBT4K30B1003637,2002,Pontiac,Bonneville,Saginaw,MI
WAUKH98E86A889703,2005,Aston Martin,DB9,Inglewood,CA
SCBBP9ZAXCC525206,2010,MINI,Cooper,Peoria,IL
SCFEBBAK0EG303744,2007,Suzuki,XL-7,Baltimore,MD
1N4AL3AP8DC784334,2011,Chevrolet,Colorado,Valdosta,GA
19UYA41643A191397,2013,BMW,X6 M,Fresno,CA
SCBDC47L27C362021,1987,Mazda,929,New Castle,PA
WAUHFBFL8DN026589,2006,Ford,Explorer Sport Trac,Waterbury,CT
3C63DPAL5CG721165,2007,Mercedes-Benz,CLK-Class,New York City,NY
KL4CJDSB8FB706706,1993,Pontiac,Sunbird,Salt Lake City,UT
WA1DKBFP7CA295442,2005,MINI,Cooper,Spokane,WA
1N6AA0EC0FN396458,2007,Bentley,Continental Flying Spur,Fort Collins,CO
WAUMFAFL6DA929551,2010,Dodge,Caliber,Jacksonville,FL
WAUAFAFH0CN316511,1997,Toyota,T100 Xtra,Indianapolis,IN
2HNYD2H29DH743499,2000,Daewoo,Lanos,Baltimore,MD
5GAER13718J889456,1992,Dodge,Colt,Toledo,OH
1FTSW2A52AE070355,1969,Plymouth,Roadrunner,Washington,DC
5N1AN0NW3FN810569,2012,Infiniti,FX,New York City,NY
WAUXF78K29A022128,1997,Mercury,Cougar,Chicago,IL
WBABD53466P918485,2008,BMW,7 Series,Philadelphia,PA
SCFFDECN2CG221051,1999,Jeep,Cherokee,Houston,TX
JN1CV6AP1AM730185,2005,Chevrolet,Cavalier,New Bedford,MA
5UXFB93592L509200,1989,Maserati,228,Olympia,WA
JN1AZ4EH2EM067878,1993,GMC,Rally Wagon 2500,Kansas City,MO
WBAVA33577K327633,2009,Ford,Flex,Schenectady,NY
WP1AA2A25DL762091,2003,Jaguar,S-Type,Kansas City,MO
1D7CE5GK3AS747302,2011,Mazda,Miata MX-5,Denver,CO
2G61M5S30E9907831,2009,Lexus,IS-F,Boca Raton,FL
WAUHFAFL3AN262699,1970,Mercury,Cougar,Yakima,WA
WAUMFAFL0AN458341,2002,Toyota,Sienna,Cincinnati,OH
WDCGG0EB2EG952379,2012,MINI,Cooper Countryman,Washington,DC
WVGAV7AX2CW481943,2003,Ford,E350,Erie,PA
WBASN4C53BC847733,1993,Oldsmobile,Ciera,Tacoma,WA
KNADH4A38B6738099,1997,GMC,3500 Club Coupe,San Antonio,TX
WAUWKAFR5AA935572,2010,Kia,Sportage,Sacramento,CA
WAUGL58E65A964863,2012,Subaru,Impreza,Amarillo,TX
2T1BURHE6EC566257,1995,GMC,Suburban 2500,Omaha,NE
WBAWV13517P630634,1990,Pontiac,LeMans,Mobile,AL
WA1CMAFE4DD722056,2012,Mazda,Mazda6,Evanston,IL
1C3CDFCB4FD080488,1965,Ford,Mustang,Baton Rouge,LA
WBAVC73567A761694,1986,Mitsubishi,Mirage,Las Cruces,NM
WAUBF98EX8A518485,2005,Chrysler,Sebring,Peoria,AZ
